id,cate_id,food_name,alias_name,english_name,edible_part,water,energy,protein,fat,cholesterol,ash,carbohydrate,dietary_fiber,carotene,shihuangchun,vitamin_a,vitamin_e,thiamin,riboflavin,niacin,vitamin_c,calcium,phosphorus,potassium,sodium,magnesium,iron,zinc,selenium,copper,manganese,iodine,sfa,mufa,pufa,fatty_acids_total
708,,牛心,,,,,444kJ,15g,4g,115mg,,3g,0g,1μg,77μg,17μg,0mg,0mg,0mg,7mg,5mg,4mg,178mg,282mg,48mg,25mg,6mg,2mg,15μg,0mg,0mg,,,,,
709,,酱牛肉,,,,,1029kJ,31g,12g,76mg,,3g,0g,3μg,51μg,11μg,1mg,0mg,0mg,4mg,0mg,20mg,178mg,148mg,869mg,27mg,4mg,7mg,4μg,0mg,0mg,,,,,
710,,煨牛肉(罐头),,,,,695kJ,17g,11g,84mg,,0g,0g,2μg,70μg,0μg,1mg,0mg,0mg,6mg,0mg,66mg,82mg,95mg,609mg,17mg,3mg,4mg,5μg,0mg,0mg,,,,,
711,,牛肉干,,,,,2301kJ,46g,40g,120mg,,2g,0g,3μg,9μg,0μg,0mg,0mg,0mg,15mg,0mg,43mg,464mg,510mg,412mg,107mg,16mg,7mg,10μg,0mg,0mg,,,,,
712,,咖哩牛肉干,,,,,1364kJ,46g,3g,116mg,,30g,0g,9μg,13μg,86μg,15mg,0mg,0mg,6mg,0mg,65mg,289mg,576mg,2075mg,26mg,18mg,8mg,5μg,0mg,1mg,,,,,
713,,牛肉松,,,,,1862kJ,8g,16g,169mg,,68g,0g,6μg,3μg,90μg,18mg,0mg,0mg,1mg,0mg,76mg,74mg,128mg,1946mg,52mg,5mg,1mg,3μg,0mg,1mg,,,,,
714,,牛蹄筋(熟),,,,,615kJ,35g,1g,51mg,,0g,0g,0μg,64μg,0μg,0mg,0mg,0mg,0mg,0mg,13mg,22mg,48mg,99mg,8mg,2mg,1mg,4μg,0mg,0mg,,,,,
715,,羊肉(肥瘦)(均值),,,,,849kJ,19g,14g,92mg,,0g,0g,1μg,66μg,22μg,0mg,0mg,0mg,4mg,0mg,6mg,146mg,232mg,81mg,20mg,2mg,3mg,32μg,1mg,0mg,,,,,
716,,羊肉(冻),,,,,1192kJ,13g,24g,77mg,,4g,0g,1μg,58μg,0μg,0mg,0mg,0mg,4mg,0mg,17mg,143mg,587mg,122mg,37mg,5mg,8mg,3μg,0mg,0mg,,,,,
717,,羊肉(后腿),,,,,460kJ,20g,3g,83mg,,0g,0g,1μg,76μg,8μg,0mg,0mg,0mg,6mg,0mg,6mg,182mg,143mg,60mg,20mg,3mg,2mg,4μg,0mg,0mg,,,,,
718,,羊肉(颈),,,,,565kJ,21g,5g,85mg,,2g,0g,1μg,71μg,6μg,0mg,0mg,0mg,4mg,0mg,8mg,157mg,208mg,75mg,18mg,3mg,3mg,5μg,0mg,0mg,,,,,
719,,羊肉(里脊),,,,,431kJ,20g,2g,107mg,,2g,0g,1μg,75μg,5μg,1mg,0mg,0mg,6mg,0mg,8mg,184mg,161mg,74mg,22mg,3mg,2mg,6μg,0mg,0mg,,,,,
720,,羊肉(前腿),,,,,460kJ,19g,3g,86mg,,2g,0g,1μg,76μg,10μg,0mg,0mg,0mg,5mg,0mg,7mg,181mg,108mg,74mg,18mg,2mg,2mg,5μg,0mg,0mg,,,,,
721,,羊肉(青羊),,,,,414kJ,21g,1g,53mg,,1g,0g,1μg,75μg,0μg,0mg,0mg,0mg,6mg,0mg,9mg,101mg,151mg,42mg,9mg,4mg,1mg,4μg,0mg,0mg,,,,,
722,,羊肉(瘦),,,,,494kJ,20g,4g,60mg,,0g,0g,1μg,74μg,11μg,0mg,0mg,0mg,5mg,0mg,9mg,196mg,403mg,69mg,22mg,4mg,6mg,7μg,0mg,0mg,,,,,
723,,羊肉(胸脯),,,,,556kJ,19g,6g,89mg,,0g,0g,1μg,74μg,11μg,0mg,0mg,0mg,4mg,0mg,7mg,150mg,170mg,87mg,17mg,3mg,2mg,7μg,0mg,0mg,,,,,
724,,山羊肉(冻),,,,,1226kJ,9g,24g,81mg,,9g,0g,1μg,56μg,8μg,0mg,0mg,0mg,5mg,0mg,135mg,151mg,744mg,161mg,50mg,14mg,10mg,8μg,0mg,0mg,,,,,
725,,羊蹄筋(生),,,,,665kJ,34g,2g,58mg,,0g,0g,0μg,63μg,0μg,0mg,0mg,0mg,1mg,0mg,16mg,39mg,74mg,150mg,5mg,3mg,2mg,4μg,0mg,0mg,,,,,
726,,羊蹄筋(泡发),,,,,172kJ,8g,0g,28mg,,2g,0g,0μg,90μg,4μg,0mg,0mg,0mg,0mg,0mg,14mg,5mg,1mg,49mg,6mg,2mg,1mg,1μg,0mg,0mg,,,,,
727,,羊大肠,,,,,314kJ,13g,2g,150mg,,0g,0g,1μg,83μg,0μg,0mg,0mg,0mg,2mg,0mg,25mg,34mg,117mg,79mg,17mg,2mg,2mg,14μg,1mg,0mg,,,,,
728,,羊肚,,,,,364kJ,12g,3g,124mg,,2g,0g,1μg,82μg,23μg,0mg,0mg,0mg,2mg,0mg,38mg,133mg,101mg,66mg,16mg,1mg,3mg,10μg,0mg,1mg,,,,,
729,,羊肺,,,,,402kJ,16g,2g,319mg,,2g,0g,1μg,78μg,0μg,1mg,0mg,0mg,1mg,0mg,12mg,172mg,139mg,146mg,8mg,8mg,2mg,9μg,0mg,0mg,,,,,
730,,羊肝,,,,,561kJ,18g,4g,349mg,,7g,0g,1μg,70μg,20972μg,30mg,0mg,2mg,22mg,0mg,8mg,299mg,241mg,123mg,14mg,8mg,3mg,18μg,5mg,0mg,,,,,
731,,羊脑,,,,,594kJ,11g,11g,2004mg,,0g,0g,2μg,76μg,0μg,0mg,0mg,0mg,4mg,0mg,61mg,356mg,146mg,152mg,15mg,0mg,1mg,38μg,0mg,0mg,,,,,
732,,羊舌,,,,,941kJ,19g,14g,148mg,,5g,0g,1μg,61μg,0μg,0mg,0mg,0mg,3mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
733,,羊肾,,,,,402kJ,17g,3g,289mg,,1g,0g,1μg,78μg,126μg,0mg,0mg,2mg,8mg,0mg,8mg,233mg,115mg,193mg,18mg,6mg,3mg,59μg,0mg,0mg,,,,,
734,,羊心,,,,,473kJ,14g,6g,104mg,,2g,0g,1μg,78μg,16μg,2mg,0mg,0mg,6mg,0mg,10mg,172mg,200mg,101mg,17mg,4mg,2mg,17μg,0mg,0mg,,,,,
735,,羊血,,,,,238kJ,7g,0g,92mg,,7g,0g,1μg,85μg,0μg,0mg,0mg,0mg,0mg,0mg,22mg,7mg,6mg,443mg,2mg,18mg,1mg,16μg,0mg,0mg,,,,,
736,,腊羊肉,,,,,1029kJ,26g,11g,100mg,,12g,0g,4μg,48μg,0μg,7mg,0mg,0mg,3mg,0mg,14mg,210mg,310mg,8992mg,29mg,7mg,10mg,45μg,0mg,0mg,,,,,
737,,羊肉(熟),,,,,908kJ,23g,14g,88mg,,0g,0g,2μg,62μg,18μg,0mg,0mg,0mg,4mg,0mg,13mg,136mg,239mg,408mg,18mg,2mg,2mg,8μg,0mg,0mg,,,,,
738,,羊肉串(电烤),,,,,979kJ,26g,12g,93mg,,6g,0g,3μg,53μg,42μg,2mg,0mg,0mg,6mg,0mg,52mg,230mg,430mg,796mg,54mg,7mg,5mg,7μg,0mg,0mg,,,,,
739,,羊肉串(烤),,,,,862kJ,26g,10g,110mg,,2g,0g,3μg,59μg,52μg,1mg,0mg,0mg,6mg,0mg,4mg,254mg,205mg,485mg,45mg,8mg,2mg,3μg,0mg,0mg,,,,,
740,,羊肉串(炸),,,,,908kJ,18g,12g,109mg,,10g,0g,3μg,57μg,40μg,7mg,0mg,0mg,5mg,0mg,38mg,194mg,297mg,581mg,29mg,4mg,4mg,7μg,0mg,0mg,,,,,
741,,羊肉干,,,,,2460kJ,28g,47g,166mg,,14g,0g,2μg,9μg,0μg,0mg,0mg,0mg,11mg,0mg,77mg,546mg,520mg,184mg,101mg,10mg,6mg,10μg,0mg,0mg,,,,,
742,,羊肉手抓,,,,,787kJ,27g,9g,95mg,,0g,0g,1μg,63μg,10μg,1mg,0mg,0mg,4mg,0mg,3mg,124mg,178mg,226mg,20mg,2mg,3mg,9μg,0mg,0mg,,,,,
743,,山羊肉(酱),,,,,1138kJ,25g,14g,92mg,,12g,0g,3μg,46μg,0μg,1mg,0mg,0mg,8mg,0mg,43mg,169mg,134mg,938mg,38mg,4mg,4mg,3μg,0mg,0mg,,,,,
744,,驴肉(瘦),,,,,485kJ,22g,3g,74mg,,0g,0g,1μg,74μg,72μg,3mg,0mg,0mg,2mg,0mg,2mg,178mg,325mg,47mg,7mg,4mg,4mg,6μg,0mg,0mg,,,,,
745,,驴鞭,,,,,598kJ,30g,1g,186mg,,4g,0g,5μg,60μg,0μg,1mg,0mg,0mg,0mg,0mg,51mg,48mg,152mg,698mg,184mg,7mg,5mg,15μg,0mg,0mg,,,,,
746,,驴肉(酱),,,,,669kJ,34g,3g,116mg,,0g,0g,2μg,61μg,0μg,0mg,0mg,0mg,1mg,0mg,8mg,197mg,185mg,229mg,9mg,4mg,5mg,3μg,0mg,0mg,,,,,
747,,驴肉(卤),,,,,632kJ,28g,2g,95mg,,6g,0g,2μg,63μg,70μg,1mg,0mg,0mg,5mg,0mg,6mg,179mg,219mg,307mg,31mg,5mg,3mg,1μg,0mg,0mg,,,,,
748,,驴肉(煮),,,,,962kJ,27g,14g,0mg,,0g,0g,2μg,58μg,25μg,0mg,0mg,0mg,0mg,0mg,13mg,170mg,114mg,207mg,30mg,8mg,4mg,29μg,0mg,0mg,,,,,
749,,马肉,,,,,510kJ,20g,5g,84mg,,0g,0g,1μg,74μg,28μg,1mg,0mg,0mg,2mg,0mg,5mg,367mg,526mg,116mg,41mg,5mg,12mg,4μg,0mg,0mg,,,,,
750,,马心,,,,,435kJ,19g,3g,119mg,,1g,0g,1μg,76μg,32μg,2mg,0mg,0mg,3mg,0mg,25mg,240mg,176mg,66mg,27mg,12mg,5mg,15μg,15mg,0mg,,,,,
751,,马肉(卤),,,,,711kJ,30g,5g,102mg,,1g,0g,2μg,62μg,17μg,0mg,0mg,0mg,6mg,0mg,4mg,193mg,171mg,237mg,22mg,6mg,3mg,3μg,0mg,0mg,,,,,
752,,狗肉,,,,,485kJ,17g,5g,62mg,,2g,0g,1μg,76μg,12μg,1mg,0mg,0mg,4mg,0mg,52mg,107mg,140mg,47mg,14mg,3mg,3mg,15μg,0mg,0mg,,,,,
753,,骆驼蹄,,,,,485kJ,26g,1g,55mg,,0g,0g,1μg,72μg,9μg,0mg,0mg,0mg,0mg,0mg,36mg,53mg,48mg,210mg,8mg,4mg,5mg,20μg,1mg,0mg,,,,,
754,,骆驼掌,,,,,1297kJ,73g,2g,360mg,,0g,0g,3μg,22μg,26μg,0mg,0mg,0mg,0mg,0mg,152mg,23mg,69mg,171mg,59mg,0mg,3mg,0μg,3mg,1mg,,,,,
755,,兔肉,,,,,427kJ,20g,2g,59mg,,1g,0g,1μg,76μg,26μg,0mg,0mg,0mg,6mg,0mg,12mg,165mg,284mg,45mg,15mg,2mg,1mg,11μg,0mg,0mg,,,,,
756,,兔肉(野),,,,,351kJ,17g,2g,48mg,,0g,0g,1μg,81μg,0μg,0mg,0mg,0mg,0mg,0mg,23mg,293mg,371mg,88mg,46mg,7mg,8mg,10μg,0mg,0mg,,,,,
757,,鸡(均值),,,,,699kJ,19g,9g,106mg,,1g,0g,1μg,69μg,48μg,1mg,0mg,0mg,6mg,0mg,9mg,156mg,251mg,63mg,19mg,1mg,1mg,12μg,0mg,0mg,,,,,
758,,鸡(土鸡，家养),,,,,519kJ,21g,4g,106mg,,0g,0g,1μg,74μg,64μg,2mg,0mg,0mg,16mg,0mg,9mg,141mg,276mg,74mg,40mg,2mg,1mg,13μg,0mg,0mg,,,,,
759,,母鸡(一年内),,,,,1071kJ,20g,17g,166mg,,6g,0g,1μg,56μg,139μg,1mg,0mg,0mg,9mg,0mg,2mg,120mg,275mg,62mg,16mg,1mg,1mg,0μg,0mg,0mg,,,,,
760,,肉鸡(肥),,,,,1628kJ,17g,35g,106mg,,1g,0g,1μg,46μg,226μg,0mg,0mg,0mg,13mg,0mg,37mg,102mg,123mg,48mg,7mg,2mg,1mg,5μg,0mg,0mg,,,,,
761,,华青鸡,,,,,661kJ,20g,9g,74mg,,0g,0g,1μg,71μg,109μg,1mg,0mg,0mg,6mg,0mg,1mg,166mg,184mg,63mg,22mg,2mg,2mg,13μg,0mg,0mg,,,,,
762,,沙鸡,,,,,615kJ,20g,7g,106mg,,2g,0g,1μg,70μg,1μg,0mg,0mg,0mg,5mg,0mg,0mg,522mg,249mg,82mg,51mg,25mg,11mg,36μg,0mg,0mg,,,,,
763,,乌骨鸡,,,,,464kJ,22g,2g,106mg,,0g,0g,1μg,74μg,0μg,2mg,0mg,0mg,7mg,0mg,17mg,210mg,323mg,64mg,51mg,2mg,2mg,8μg,0mg,0mg,,,,,
764,,鸡胸脯肉,,,,,556kJ,19g,5g,82mg,,2g,0g,1μg,72μg,16μg,0mg,0mg,0mg,11mg,0mg,3mg,214mg,338mg,34mg,28mg,1mg,1mg,10μg,0mg,0mg,,,,,
765,,鸡翅,,,,,812kJ,17g,12g,113mg,,5g,0g,1μg,65μg,68μg,0mg,0mg,0mg,5mg,0mg,8mg,161mg,205mg,51mg,17mg,1mg,1mg,11μg,0mg,0mg,,,,,
766,,鸡腿,,,,,757kJ,16g,13g,162mg,,0g,0g,1μg,70μg,44μg,0mg,0mg,0mg,6mg,0mg,6mg,172mg,242mg,64mg,34mg,2mg,1mg,12μg,0mg,0mg,,,,,
767,,鸡爪,,,,,1063kJ,24g,16g,103mg,,3g,0g,1μg,56μg,37μg,0mg,0mg,0mg,2mg,0mg,36mg,76mg,108mg,169mg,7mg,1mg,1mg,10μg,0mg,0mg,,,,,
768,,鸡肝,,,,,506kJ,17g,5g,356mg,,3g,0g,1μg,74μg,10414μg,2mg,0mg,1mg,12mg,0mg,7mg,263mg,222mg,92mg,16mg,12mg,2mg,39μg,0mg,0mg,,,,,
769,,鸡肝(肉鸡),,,,,506kJ,17g,4g,476mg,,4g,0g,1μg,74μg,2867μg,1mg,0mg,1mg,0mg,0mg,4mg,216mg,321mg,98mg,17mg,10mg,3mg,0μg,0mg,0mg,,,,,
770,,鸡心,,,,,720kJ,16g,12g,194mg,,1g,0g,1μg,71μg,910μg,0mg,0mg,0mg,12mg,0mg,54mg,176mg,220mg,108mg,11mg,5mg,2mg,4μg,0mg,0mg,,,,,
771,,鸡血,,,,,205kJ,8g,0g,170mg,,4g,0g,1μg,87μg,56μg,0mg,0mg,0mg,0mg,0mg,10mg,68mg,136mg,208mg,4mg,25mg,0mg,12μg,0mg,0mg,,,,,
772,,鸡肫[鸡胗],,,,,494kJ,19g,3g,174mg,,4g,0g,1μg,73μg,36μg,1mg,0mg,0mg,3mg,0mg,7mg,135mg,272mg,75mg,15mg,4mg,3mg,11μg,2mg,0mg,,,,,
773,,扒鸡,,,,,908kJ,30g,11g,211mg,,0g,0g,3μg,56μg,32μg,0mg,0mg,0mg,9mg,0mg,31mg,157mg,149mg,1001mg,24mg,3mg,3mg,8μg,0mg,0mg,,,,,
774,,烤鸡,,,,,1004kJ,22g,17g,99mg,,0g,0g,2μg,59μg,37μg,0mg,0mg,0mg,4mg,0mg,25mg,136mg,142mg,472mg,14mg,2mg,1mg,4μg,0mg,0mg,,,,,
775,,肯德鸡[炸鸡],,,,,1167kJ,20g,17g,198mg,,10g,0g,2μg,49μg,23μg,6mg,0mg,0mg,17mg,0mg,109mg,530mg,232mg,755mg,28mg,2mg,2mg,11μg,0mg,0mg,,,,,
776,,卤煮鸡,,,,,887kJ,29g,8g,0mg,,6g,0g,2μg,54μg,76μg,1mg,0mg,0mg,0mg,0mg,71mg,18mg,40mg,222mg,43mg,5mg,4mg,17μg,1mg,0mg,,,,,
777,,瓦罐鸡汤(肉),,,,,795kJ,21g,10g,116mg,,5g,0g,1μg,63μg,63μg,1mg,0mg,0mg,0mg,0mg,16mg,62mg,23mg,201mg,8mg,2mg,2mg,0μg,0mg,0mg,,,,,
778,,瓦罐鸡汤(汤),,,,,113kJ,1g,2g,24mg,,0g,0g,1μg,95μg,0μg,0mg,0mg,0mg,0mg,0mg,2mg,20mg,39mg,251mg,5mg,0mg,0mg,0μg,0mg,0mg,,,,,
779,,鸡肉松,,,,,1841kJ,7g,16g,81mg,,66g,0g,6μg,5μg,90μg,15mg,0mg,0mg,1mg,0mg,76mg,83mg,109mg,1688mg,29mg,7mg,1mg,3μg,0mg,1mg,,,,,
780,,鸭(均值),,,,,1004kJ,16g,20g,94mg,,0g,0g,1μg,64μg,52μg,0mg,0mg,0mg,4mg,0mg,6mg,122mg,191mg,69mg,14mg,2mg,1mg,12μg,0mg,0mg,,,,,
781,,公麻鸭,,,,,1506kJ,14g,31g,143mg,,6g,0g,1μg,48μg,238μg,0mg,0mg,0mg,0mg,0mg,4mg,122mg,109mg,62mg,16mg,3mg,2mg,0μg,0mg,0mg,,,,,
782,,母麻鸭,,,,,1929kJ,13g,45g,132mg,,1g,0g,1μg,40μg,476μg,1mg,0mg,0mg,0mg,0mg,9mg,64mg,155mg,49mg,20mg,3mg,1mg,0μg,0mg,0mg,,,,,
783,,鸭胸脯肉,,,,,377kJ,15g,2g,121mg,,4g,0g,1μg,79μg,0μg,2mg,0mg,0mg,4mg,0mg,6mg,86mg,126mg,60mg,24mg,4mg,1mg,13μg,0mg,0mg,,,,,
784,,鸭皮,,,,,2251kJ,6g,50g,46mg,,15g,0g,0μg,28μg,21μg,0mg,0mg,0mg,1mg,0mg,6mg,42mg,38mg,26mg,0mg,3mg,1mg,5μg,0mg,0mg,,,,,
785,,鸭翅,,,,,611kJ,16g,6g,49mg,,6g,0g,0μg,71μg,14μg,0mg,0mg,0mg,2mg,0mg,20mg,84mg,100mg,54mg,5mg,2mg,1mg,10μg,0mg,0mg,,,,,
786,,鸭掌,,,,,628kJ,27g,2g,36mg,,6g,0g,0μg,65μg,11μg,0mg,0mg,0mg,1mg,0mg,24mg,91mg,28mg,61mg,3mg,1mg,1mg,5μg,0mg,0mg,,,,,
787,,鸭肠,,,,,540kJ,14g,8g,187mg,,0g,0g,1μg,77μg,16μg,0mg,0mg,0mg,3mg,0mg,31mg,166mg,136mg,32mg,13mg,2mg,1mg,25μg,0mg,0mg,,,,,
788,,鸭肝,,,,,536kJ,14g,8g,341mg,,0g,0g,1μg,76μg,1040μg,1mg,0mg,1mg,7mg,18mg,18mg,283mg,230mg,87mg,18mg,23mg,3mg,57μg,1mg,0mg,,,,,
789,,鸭肝(公麻鸭),,,,,569kJ,15g,4g,313mg,,10g,0g,1μg,70μg,2850μg,0mg,0mg,0mg,0mg,0mg,1mg,102mg,236mg,99mg,12mg,35mg,4mg,0μg,4mg,0mg,,,,,
790,,鸭肝(母麻鸭),,,,,473kJ,17g,2g,255mg,,6g,0g,1μg,74μg,4675μg,1mg,0mg,1mg,0mg,0mg,1mg,252mg,289mg,108mg,13mg,50mg,7mg,0μg,6mg,0mg,,,,,
791,,鸭舌[鸭条],,,,,1025kJ,17g,20g,118mg,,0g,0g,1μg,63μg,35μg,0mg,0mg,0mg,2mg,0mg,13mg,94mg,44mg,82mg,6mg,2mg,1mg,12μg,0mg,0mg,,,,,
792,,鸭心,,,,,598kJ,13g,9g,120mg,,3g,0g,1μg,74μg,24μg,1mg,0mg,1mg,8mg,0mg,20mg,188mg,233mg,86mg,18mg,5mg,1mg,15μg,0mg,0mg,,,,,
793,,鸭血(白鸭),,,,,452kJ,14g,0g,95mg,,12g,0g,1μg,73μg,0μg,0mg,0mg,0mg,0mg,0mg,5mg,87mg,166mg,174mg,8mg,30mg,0mg,0μg,0mg,0mg,,,,,
794,,鸭血(公麻鸭),,,,,234kJ,13g,0g,95mg,,0g,0g,1μg,85μg,57μg,0mg,0mg,0mg,0mg,0mg,3mg,127mg,186mg,199mg,11mg,32mg,1mg,0μg,0mg,0mg,,,,,
795,,鸭血(母麻鸭),,,,,230kJ,13g,0g,95mg,,0g,0g,1μg,86μg,110μg,0mg,0mg,0mg,0mg,0mg,2mg,127mg,185mg,175mg,9mg,40mg,1mg,0μg,0mg,0mg,,,,,
796,,鸭胰,,,,,490kJ,22g,3g,230mg,,1g,0g,2μg,73μg,6μg,0mg,0mg,1mg,3mg,9mg,20mg,554mg,84mg,56mg,41mg,2mg,4mg,26μg,0mg,0mg,,,,,
797,,鸭肫,,,,,385kJ,18g,1g,153mg,,2g,0g,1μg,78μg,6μg,0mg,0mg,0mg,4mg,0mg,12mg,134mg,284mg,69mg,18mg,4mg,3mg,16μg,0mg,0mg,,,,,
798,,鸭肫(公麻鸭),,,,,469kJ,20g,1g,295mg,,5g,0g,1μg,73μg,48μg,0mg,0mg,0mg,0mg,0mg,2mg,116mg,351mg,70mg,19mg,4mg,4mg,0μg,0mg,0mg,,,,,
799,,鸭肫(母麻鸭),,,,,527kJ,20g,4g,291mg,,2g,0g,1μg,73μg,102μg,0mg,0mg,0mg,0mg,0mg,1mg,144mg,349mg,69mg,1mg,4mg,4mg,0μg,0mg,0mg,,,,,
800,,北京烤鸭,,,,,1824kJ,17g,38g,0mg,,6g,0g,1μg,38μg,36μg,1mg,0mg,0mg,4mg,0mg,35mg,175mg,247mg,83mg,13mg,2mg,1mg,10μg,0mg,0mg,,,,,
801,,北京填鸭,,,,,1778kJ,9g,41g,96mg,,4g,0g,0μg,45μg,30μg,1mg,0mg,0mg,4mg,0mg,15mg,149mg,139mg,46mg,6mg,2mg,1mg,6μg,0mg,0mg,,,,,
802,,红烧鸭(罐头),,,,,1414kJ,15g,30g,0mg,,1g,0g,2μg,51μg,26μg,0mg,0mg,0mg,4mg,0mg,29mg,467mg,115mg,628mg,17mg,2mg,2mg,12μg,0mg,0mg,,,,,
803,,酱鸭,,,,,1113kJ,19g,18g,107mg,,6g,0g,3μg,54μg,11μg,0mg,0mg,0mg,4mg,0mg,14mg,140mg,236mg,981mg,13mg,4mg,3mg,16μg,0mg,0mg,,,,,
804,,酱鸭(加梅菜，罐头),,,,,1038kJ,12g,22g,35mg,,1g,1g,2μg,62μg,26μg,0mg,0mg,0mg,6mg,0mg,29mg,208mg,130mg,474mg,24mg,3mg,3mg,10μg,0mg,0mg,,,,,
805,,盐水鸭(熟),,,,,1310kJ,17g,26g,81mg,,3g,0g,3μg,52μg,35μg,0mg,0mg,0mg,2mg,0mg,10mg,112mg,218mg,1558mg,14mg,1mg,2mg,15μg,0mg,0mg,,,,,
806,,鹅,,,,,1050kJ,18g,20g,74mg,,0g,0g,1μg,61μg,42μg,0mg,0mg,0mg,5mg,0mg,4mg,144mg,232mg,59mg,18mg,4mg,1mg,18μg,0mg,0mg,,,,,
807,,鹅肝,,,,,540kJ,15g,3g,285mg,,9g,0g,1μg,71μg,6100μg,0mg,0mg,0mg,0mg,0mg,2mg,216mg,336mg,70mg,11mg,8mg,4mg,0μg,8mg,0mg,,,,,
808,,鹅肫,,,,,418kJ,20g,2g,153mg,,1g,0g,1μg,76μg,51μg,0mg,0mg,0mg,0mg,0mg,2mg,112mg,410mg,58mg,9mg,5mg,4mg,0μg,0mg,0mg,,,,,
809,,烧鹅,,,,,1209kJ,20g,22g,116mg,,4g,0g,2μg,53μg,9μg,0mg,0mg,0mg,4mg,0mg,91mg,202mg,22mg,240mg,7mg,4mg,2mg,8μg,0mg,0mg,,,,,
810,,火鸡腿,,,,,381kJ,20g,1g,58mg,,0g,0g,1μg,78μg,0μg,0mg,0mg,0mg,8mg,0mg,12mg,470mg,708mg,168mg,49mg,5mg,9mg,16μg,0mg,0mg,,,,,
811,,火鸡胸脯肉,,,,,431kJ,22g,0g,49mg,,3g,0g,1μg,74μg,0μg,0mg,0mg,0mg,16mg,0mg,39mg,116mg,227mg,94mg,31mg,1mg,1mg,10μg,0mg,0mg,,,,,
812,,火鸡肝,,,,,598kJ,20g,6g,294mg,,3g,0g,1μg,70μg,0μg,1mg,0mg,1mg,43mg,0mg,3mg,225mg,244mg,129mg,18mg,21mg,2mg,36μg,0mg,0mg,,,,,
813,,火鸡肫,,,,,381kJ,19g,0g,342mg,,3g,0g,1μg,76μg,0μg,0mg,0mg,0mg,8mg,0mg,44mg,108mg,352mg,57mg,24mg,4mg,3mg,16μg,0mg,0mg,,,,,
814,,鸽,,,,,841kJ,16g,14g,99mg,,2g,0g,1μg,67μg,53μg,1mg,0mg,0mg,7mg,0mg,30mg,136mg,334mg,64mg,27mg,4mg,1mg,11μg,0mg,0mg,,,,,
815,,鹌鹑,,,,,460kJ,20g,3g,157mg,,0g,0g,1μg,75μg,40μg,0mg,0mg,0mg,6mg,0mg,48mg,179mg,204mg,48mg,20mg,2mg,1mg,12μg,0mg,0mg,,,,,
816,,牛乳(均值),,,,,226kJ,3g,3g,15mg,,3g,0g,1μg,90μg,24μg,0mg,0mg,0mg,0mg,1mg,104mg,73mg,109mg,37mg,11mg,0mg,0mg,2μg,0mg,0mg,,,,,
817,,牛乳(美国牛),,,,,247kJ,3g,3g,26mg,,5g,0g,1μg,89μg,9μg,0mg,0mg,0mg,0mg,1mg,108mg,68mg,127mg,40mg,19mg,0mg,0mg,2μg,0mg,0mg,,,,,
818,,牛乳(强化VA，VD),,,,,213kJ,3g,2g,0mg,,6g,0g,1μg,89μg,66μg,0mg,0mg,0mg,0mg,3mg,140mg,60mg,130mg,43mg,14mg,0mg,0mg,1μg,0mg,0mg,,,,,
819,,牛乳(西德牛),,,,,251kJ,3g,3g,32mg,,5g,0g,1μg,88μg,13μg,0mg,0mg,0mg,0mg,0mg,114mg,87mg,120mg,46mg,19mg,0mg,0mg,2μg,0mg,0mg,,,,,
820,,鲜羊乳,,,,,247kJ,2g,4g,31mg,,5g,0g,1μg,89μg,84μg,0mg,0mg,0mg,2mg,0mg,82mg,98mg,135mg,21mg,0mg,0mg,0mg,2μg,0mg,0mg,,,,,
821,,人乳,,,,,272kJ,1g,3g,11mg,,7g,0g,0μg,88μg,11μg,0mg,0mg,0mg,0mg,5mg,30mg,13mg,0mg,0mg,32mg,0mg,0mg,0μg,0mg,0mg,,,,,
822,,牛乳粉(多维奶粉),,,,,2025kJ,20g,23g,68mg,,50g,0g,5μg,3μg,77μg,0mg,0mg,7mg,0mg,9mg,1797mg,324mg,1910mg,568mg,22mg,1mg,4mg,17μg,0mg,0mg,,,,,
823,,全脂加糖奶粉,,,,,2050kJ,22g,23g,0mg,,47g,0g,6μg,1μg,183μg,0mg,0mg,0mg,0mg,0mg,495mg,1018mg,841mg,451mg,81mg,1mg,2mg,7μg,0mg,0mg,,,,,
824,,全脂牛奶粉,,,,,2000kJ,20g,21g,110mg,,52g,0g,5μg,2μg,141μg,0mg,0mg,1mg,1mg,4mg,676mg,469mg,449mg,260mg,79mg,1mg,3mg,12μg,0mg,0mg,,,,,
825,,全脂速溶奶粉,,,,,1950kJ,20g,19g,71mg,,54g,0g,5μg,2μg,272μg,1mg,0mg,1mg,0mg,7mg,659mg,571mg,541mg,248mg,73mg,3mg,2mg,8μg,0mg,0mg,,,,,
826,,全脂羊乳粉,,,,,2084kJ,19g,25g,75mg,,49g,0g,6μg,1μg,0μg,0mg,0mg,2mg,1mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
827,,酸奶(均值),,,,,301kJ,2g,3g,15mg,,9g,0g,1μg,85μg,26μg,0mg,0mg,0mg,0mg,1mg,118mg,85mg,150mg,40mg,12mg,0mg,1mg,2μg,0mg,0mg,,,,,
