id,cate_id,food_name,alias_name,english_name,edible_part,water,energy,protein,fat,cholesterol,ash,carbohydrate,dietary_fiber,carotene,shihuangchun,vitamin_a,vitamin_e,thiamin,riboflavin,niacin,vitamin_c,calcium,phosphorus,potassium,sodium,magnesium,iron,zinc,selenium,copper,manganese,iodine,sfa,mufa,pufa,fatty_acids_total
483,,李子,,,,,151kJ,1g,0g,0mg,,8g,1g,0μg,90μg,25μg,1mg,0mg,0mg,0mg,5mg,8mg,11mg,144mg,4mg,10mg,1mg,0mg,0μg,0mg,0mg,,,,,
484,,李子杏,,,,,146kJ,1g,0g,0mg,,8g,1g,0μg,90μg,13μg,0mg,0mg,0mg,0mg,16mg,3mg,11mg,103mg,2mg,0mg,0mg,0mg,0μg,0mg,0mg,,,,,
485,,梅[青梅],,,,,138kJ,1g,1g,0mg,,5g,1g,1μg,91μg,0μg,0mg,0mg,0mg,0mg,0mg,11mg,36mg,0mg,0mg,0mg,2mg,0mg,0μg,0mg,0mg,,,,,
486,,杏,,,,,151kJ,1g,0g,0mg,,8g,1g,0μg,89μg,75μg,1mg,0mg,0mg,1mg,4mg,14mg,15mg,226mg,2mg,11mg,1mg,0mg,0μg,0mg,0mg,,,,,
487,,杏(罐头),,,,,155kJ,1g,0g,0mg,,8g,1g,0μg,89μg,72μg,1mg,0mg,0mg,0mg,0mg,6mg,8mg,26mg,22mg,4mg,2mg,0mg,4μg,0mg,0mg,,,,,
488,,杏干,,,,,1381kJ,3g,0g,0mg,,79g,4g,5μg,9μg,102μg,0mg,0mg,0mg,1mg,0mg,147mg,89mg,783mg,40mg,55mg,0mg,4mg,3μg,8mg,0mg,,,,,
489,,枣(鲜),,,,,510kJ,1g,0g,0mg,,29g,2g,1μg,67μg,40μg,1mg,0mg,0mg,1mg,243mg,22mg,23mg,375mg,1mg,25mg,1mg,2mg,1μg,0mg,0mg,,,,,
490,,枣(干),,,,,1105kJ,3g,0g,0mg,,62g,6g,2μg,27μg,2μg,3mg,0mg,0mg,1mg,14mg,64mg,51mg,524mg,6mg,36mg,2mg,1mg,1μg,0mg,0mg,,,,,
491,,枣(干，大),,,,,1247kJ,2g,0g,0mg,,72g,10g,2μg,14μg,0μg,0mg,0mg,0mg,2mg,7mg,54mg,34mg,185mg,8mg,39mg,2mg,0mg,2μg,0mg,0mg,,,,,
492,,金丝小枣,,,,,1230kJ,1g,1g,0mg,,70g,7g,2μg,19μg,0μg,1mg,0mg,0mg,0mg,0mg,23mg,0mg,65mg,7mg,24mg,2mg,0mg,1μg,0mg,0mg,,,,,
