mufa,pufa,fat,vitamin_a,zinc,id,edible_part,carotene,vitamin_c,magnesium,selenium,iodine,thiamin,fatty_acids_total,potassium,dietary_fiber,alias_name,energy,niacin,calcium,cate_id,protein,riboflavin,sodium,copper,water,carbohydrate,vitamin_e,phosphorus,iron,food_name,english_name,cholesterol,ash,retinol,manganese,sfa
"""5.0%""","""79.4%""","""3.2g""","""0.0μg""","""5.58mg""","""592""","""100%""","""Tr""","""—""","""96mg""","""13.60μg""","""12.6μg""","""0.17mg""","""99.7%""","""3128mg""","""28.10g""","""""","""1231kJ""","""41.38mg""","""4mg""","""53""","""22.8g""","""1.93mg""","""6.4mg""","""5.39mg""","""10.8g""","""57.5g""","""—""","""566mg""","""7.6mg""","""黄伞菇(干)[多脂鳞伞、黄丝菌]""","""""","""—""","""5.7g""","""""","""0.67mg""","""15.3%"""
"""—""","""—""","""2.0g""","""0.0μg""","""3.95mg""","""593""","""100%""","""—""","""—""","""119mg""","""15.40μg""","""—""","""0.14mg""","""—""","""4053mg""","""18.80g""","""""","""1239kJ""","""24.99mg""","""9mg""","""53""","""26.7g""","""1.79mg""","""68.2mg""","""1.40mg""","""10.8g""","""51.8g""","""—""","""764mg""","""6.5mg""","""鸡腿菇(干)[毛头鬼伞]""","""""","""—""","""8.7g""","""""","""0.72mg""","""—"""
"""27.9%""","""Tr""","""3.7g""","""0.0μg""","""7.16mg""","""594""","""100%""","""70.0μg""","""—""","""116mg""","""33.40μg""","""—""","""0.26mg""","""100.1%""","""1312mg""","""23.30g""","""""","""1246kJ""","""34.21mg""","""8mg""","""53""","""32.8g""","""1.22mg""","""23.9mg""","""2.39mg""","""13.6g""","""44.8g""","""—""","""1005mg""","""31.8mg""","""鸡枞(干)""","""""","""—""","""5.1g""","""""","""2.13mg""","""72.2%"""
"""—""","""—""","""66.3g""","""—""","""3.26mg""","""595""","""100%""","""Tr""","""—""","""33mg""","""2.70μg""","""—""","""0.03mg""","""—""","""367mg""","""""","""""","""2708kJ""","""9.20mg""","""28mg""","""53""","""4.8g""","""0.24mg""","""1265.7mg""","""1.28mg""","""16.5g""","""10.2g""","""—""","""232mg""","""31.1mg""","""鸡枞(油炸)[油鸡枞]""","""""","""—""","""2.2g""","""""","""1.16mg""","""—"""
"""—""","""—""","""0.4g""","""0.0μg""","""0.98mg""","""596""","""93%""","""Tr""","""—""","""10mg""","""0.20μg""","""—""","""0.14mg""","""—""","""301mg""","""""","""""","""159kJ""","""2.10mg""","""5mg""","""53""","""4.0g""","""1.11mg""","""2.1mg""","""0.32mg""","""90.2g""","""4.5g""","""—""","""68mg""","""2.1mg""","""牛肝菌(白)[美味牛肝菌]""","""""","""—""","""0.9g""","""""","""0.19mg""","""—"""
"""47.2%""","""35.4%""","""1.6g""","""0.0μg""","""5.80mg""","""597""","""100%""","""108.0μg""","""—""","""47mg""","""758.80μg""","""—""","""0.32mg""","""99.6%""","""1571mg""","""21.50g""","""""","""1244kJ""","""43.08mg""","""2mg""","""53""","""27.8g""","""1.72mg""","""9.1mg""","""1.19mg""","""11.6g""","""53.3g""","""—""","""528mg""","""9.2mg""","""牛肝菌(白、干)[美味牛肝菌]""","""""","""—""","""5.7g""","""""","""3.88mg""","""17.0%"""
"""—""","""—""","""0.2g""","""0.0μg""","""1.19mg""","""598""","""95%""","""Tr""","""—""","""8mg""","""0.30μg""","""—""","""0.07mg""","""—""","""291mg""","""""","""""","""150kJ""","""6.60mg""","""2mg""","""53""","""3.6g""","""0.31mg""","""1.3mg""","""0.37mg""","""90.6g""","""4.8g""","""—""","""60mg""","""2.1mg""","""牛肝菌(黑)[铜色牛肝菌]""","""""","""—""","""0.8g""","""""","""0.17mg""","""—"""
"""—""","""—""","""0.1g""","""0.0μg""","""1.07mg""","""599""","""97%""","""Tr""","""—""","""8mg""","""0.40μg""","""—""","""0.03mg""","""—""","""224mg""","""""","""""","""167kJ""","""3.20mg""","""2mg""","""53""","""4.3g""","""0.57mg""","""1.6mg""","""0.35mg""","""89.7g""","""5.3g""","""0.00mg""","""49mg""","""1.4mg""","""牛肝菌（黄皮牛肝菌，鲜)[黄皮疣柄牛肝菌、黄癞头]""","""""","""—""","""0.6g""","""""","""0.28mg""","""—"""
"""39.2%""","""45.7%""","""2.8g""","""0.0μg""","""5.43mg""","""600""","""100%""","""357.0μg""","""—""","""55mg""","""42.40μg""","""—""","""0.86mg""","""100.0%""","""1481mg""","""43.00g""","""""","""1099kJ""","""67.66mg""","""12mg""","""53""","""15.3g""","""1.72mg""","""11.2mg""","""0.35mg""","""10.5g""","""66.0g""","""—""","""391mg""","""20.3mg""","""乳牛肝菌(干)[粘盖牛肝菌、松树菌]""","""""","""—""","""5.4g""","""""","""1.85mg""","""15.1%"""
"""—""","""—""","""0.1g""","""0.0μg""","""0.67mg""","""601""","""95%""","""Tr""","""—""","""8mg""","""0.20μg""","""—""","""0.01mg""","""—""","""269mg""","""""","""""","""102kJ""","""4.00mg""","""4mg""","""53""","""2.7g""","""0.46mg""","""1.1mg""","""0.34mg""","""93.3g""","""3.1g""","""0.00mg""","""52mg""","""1.4mg""","""青头菌[变绿红菇、绿菇]""","""""","""—""","""0.8g""","""""","""0.10mg""","""—"""
