mufa,pufa,fat,vitamin_a,zinc,id,edible_part,carotene,vitamin_c,magnesium,selenium,iodine,thiamin,fatty_acids_total,potassium,dietary_fiber,alias_name,energy,niacin,calcium,cate_id,protein,riboflavin,sodium,copper,water,carbohydrate,vitamin_e,phosphorus,iron,food_name,english_name,cholesterol,ash,retinol,manganese,sfa
"""41.3%""","""23.9%""","""5.0g""","""16.0μg""","""1mg""","""880""","""100%""","""1μg""","""0mg""","""28mg""","""10.50μg""","""""","""0.07mg""","""99.4%""","""338mg""","""0g""","""""","""557kJ""","""11mg""","""3mg""","""69""","""19.4g""","""0.13mg""","""34.4mg""","""0.06mg""","""72.0g""","""2.5g""","""0mg""","""214mg""","""1mg""","""鸡胸脯肉""","""""","""82mg""","""1.1g""","""72μg""","""0.01mg""","""34.2%"""
"""49.0%""","""21.5%""","""12g""","""68.0μg""","""1.12mg""","""881""","""69%""","""1μg""","""0mg""","""17mg""","""11.00μg""","""""","""0.01mg""","""101.1%""","""205mg""","""0g""","""""","""812kJ""","""5.30mg""","""8mg""","""69""","""17.4g""","""0.11mg""","""51mg""","""0.05mg""","""65.4g""","""5g""","""0mg""","""161mg""","""1.3mg""","""鸡翅""","""""","""113mg""","""0.8g""","""65μg""","""0.03mg""","""30.6%"""
"""41.3%""","""23.9%""","""13.0g""","""44.0μg""","""1.12mg""","""882""","""69%""","""1μg""","""0mg""","""34mg""","""12.40μg""","""""","""0.02mg""","""99.4%""","""242mg""","""0g""","""""","""757kJ""","""6.00mg""","""6mg""","""69""","""16.0g""","""0.14mg""","""64.4mg""","""0.09mg""","""70.2g""","""Tr""","""0mg""","""172mg""","""2mg""","""鸡腿""","""""","""162mg""","""0.8g""","""70μg""","""0.03mg""","""34.2%"""
"""54.0%""","""21.9%""","""16.4g""","""37.0μg""","""1mg""","""883""","""60%""","""1μg""","""0mg""","""7mg""","""10.00μg""","""""","""0.01mg""","""100.7%""","""108mg""","""0g""","""""","""1063kJ""","""2.40mg""","""36mg""","""69""","""24g""","""0.13mg""","""169.0mg""","""0.05mg""","""56.4g""","""3g""","""0mg""","""76mg""","""1.4mg""","""鸡爪""","""""","""103mg""","""0.6g""","""56μg""","""0.03mg""","""24.8%"""
"""32.2%""","""17.0%""","""5g""","""10414.0μg""","""2.40mg""","""884""","""100%""","""1μg""","""0mg""","""16mg""","""39μg""","""""","""0.33mg""","""96.2%""","""222mg""","""0g""","""""","""507kJ""","""12mg""","""7mg""","""69""","""17g""","""1.10mg""","""92.0mg""","""0.32mg""","""74.4g""","""3g""","""2mg""","""263mg""","""12.0mg""","""鸡肝""","""""","""356mg""","""1.4g""","""74μg""","""0.24mg""","""46.9%"""
"""42.7%""","""28.8%""","""12g""","""910.0μg""","""2mg""","""885""","""100%""","""1μg""","""0mg""","""11mg""","""4.10μg""","""""","""0.46mg""","""100.1%""","""220mg""","""0g""","""""","""720kJ""","""12mg""","""54mg""","""69""","""16g""","""0.26mg""","""108.4mg""","""0.27mg""","""70.8g""","""1g""","""0mg""","""176mg""","""5mg""","""鸡心""","""""","""194mg""","""0.9g""","""71μg""","""0.04mg""","""28.6%"""
"""25.5%""","""13.8%""","""0.2g""","""56.0μg""","""0.45mg""","""886""","""100%""","""1μg""","""0mg""","""4mg""","""12.10μg""","""""","""0.05mg""","""95.7%""","""136mg""","""0g""","""""","""210kJ""","""0.10mg""","""10mg""","""69""","""8g""","""0.04mg""","""208.0mg""","""0.03mg""","""87.0g""","""4.1g""","""0mg""","""68mg""","""25.0mg""","""鸡血""","""""","""170mg""","""0.9g""","""87μg""","""0.03mg""","""56.4%"""
"""39.2%""","""21.7%""","""3g""","""36.0μg""","""3mg""","""887""","""100%""","""1μg""","""0mg""","""15mg""","""11μg""","""""","""0.04mg""","""100.3%""","""272mg""","""0g""","""""","""498kJ""","""3.40mg""","""7mg""","""69""","""19.2g""","""0.09mg""","""75mg""","""2.11mg""","""73.1g""","""4.0g""","""1mg""","""135mg""","""4.4mg""","""鸡肫[鸡胗]""","""""","""174mg""","""0.9g""","""73μg""","""0.06mg""","""39.4%"""
"""46.2%""","""21.9%""","""11.0g""","""32.0μg""","""3.23mg""","""888""","""66%""","""3μg""","""0mg""","""24mg""","""8.10μg""","""""","""0.02mg""","""100.0%""","""149mg""","""0g""","""""","""910kJ""","""9.20mg""","""31mg""","""69""","""30g""","""0.17mg""","""1001mg""","""0.05mg""","""56.0g""","""0.0g""","""0mg""","""157mg""","""3mg""","""扒鸡""","""""","""211mg""","""3.4g""","""56μg""","""0.01mg""","""31.9%"""
"""47.6%""","""24.0%""","""17g""","""37.0μg""","""1.38mg""","""889""","""73%""","""2μg""","""0mg""","""14mg""","""4μg""","""""","""0.05mg""","""98.4%""","""142mg""","""0g""","""""","""1004kJ""","""4mg""","""25mg""","""69""","""22.4g""","""0.19mg""","""472.3mg""","""0.10mg""","""59.0g""","""0.1g""","""0mg""","""136mg""","""2mg""","""烤鸡""","""""","""99mg""","""1.8g""","""59μg""","""0.11mg""","""26.8%"""
"""63.2%""","""2.6%""","""16.4g""","""90.0μg""","""1mg""","""890""","""100%""","""6μg""","""0mg""","""29mg""","""3.10μg""","""""","""0.03mg""","""99.4%""","""109mg""","""0g""","""""","""1848kJ""","""1.00mg""","""76mg""","""69""","""7.2g""","""0.11mg""","""1688mg""","""0.07mg""","""4.9g""","""66g""","""15mg""","""83mg""","""7.1mg""","""鸡肉松""","""""","""81mg""","""5.7g""","""5μg""","""1mg""","""33.5%"""
"""50.0%""","""19.5%""","""20g""","""52.0μg""","""1.33mg""","""891""","""68%""","""1μg""","""0mg""","""14mg""","""12.20μg""","""""","""0.08mg""","""99.8%""","""191mg""","""0g""","""""","""1004kJ""","""4.20mg""","""6mg""","""70""","""16g""","""0.22mg""","""69.0mg""","""0.21mg""","""63.9g""","""0.2g""","""0mg""","""122mg""","""2.2mg""","""鸭(均值)""","""""","""94mg""","""0.7g""","""64μg""","""0.06mg""","""30.2%"""
"""—""","""—""","""2g""","""0μg""","""1.17mg""","""892""","""100%""","""1μg""","""0mg""","""24mg""","""13μg""","""""","""0.01mg""","""—""","""126mg""","""0g""","""""","""379kJ""","""4.20mg""","""6mg""","""70""","""15.0g""","""0.07mg""","""60.2mg""","""0.27mg""","""78.6g""","""4.0g""","""2mg""","""86mg""","""4.1mg""","""鸭胸脯肉""","""""","""121mg""","""0.9g""","""79μg""","""0.01mg""","""—"""
"""—""","""—""","""6.1g""","""14.0μg""","""1mg""","""893""","""67%""","""0μg""","""0mg""","""5mg""","""10.00μg""","""""","""0.02mg""","""—""","""100mg""","""0g""","""""","""613kJ""","""2.40mg""","""20mg""","""70""","""16.5g""","""0.16mg""","""54mg""","""0mg""","""70.6g""","""6.3g""","""0mg""","""84mg""","""2.1mg""","""鸭翅""","""""","""49mg""","""0.5g""","""71μg""","""0mg""","""—"""
"""—""","""—""","""2g""","""11.0μg""","""1mg""","""894""","""59%""","""0μg""","""0mg""","""3mg""","""5.40μg""","""""","""0mg""","""—""","""28mg""","""0g""","""""","""633kJ""","""1.10mg""","""24mg""","""70""","""27g""","""0.17mg""","""61.1mg""","""0mg""","""64.7g""","""6.2g""","""0mg""","""91mg""","""1.3mg""","""鸭掌""","""""","""36mg""","""0.3g""","""65μg""","""0mg""","""—"""
"""53.7%""","""14.5%""","""8g""","""16.0μg""","""1.19mg""","""895""","""53%""","""1μg""","""0mg""","""13mg""","""25μg""","""""","""0.02mg""","""99.9%""","""136mg""","""0g""","""""","""540kJ""","""3.10mg""","""31mg""","""70""","""14.2g""","""0.22mg""","""32.0mg""","""0.18mg""","""77.0g""","""0.4g""","""0mg""","""166mg""","""2.3mg""","""鸭肠""","""""","""187mg""","""0.6g""","""77μg""","""0mg""","""31.7%"""
"""36.1%""","""14.8%""","""8g""","""1040.0μg""","""3.08mg""","""896""","""100%""","""1μg""","""18.0mg""","""18mg""","""57.30μg""","""""","""0.26mg""","""102.1%""","""230mg""","""0g""","""""","""536kJ""","""7mg""","""18mg""","""70""","""14.5g""","""1.05mg""","""87.2mg""","""1.31mg""","""76.3g""","""0.5g""","""1mg""","""283mg""","""23.1mg""","""鸭肝""","""""","""341mg""","""1.2g""","""76μg""","""0.28mg""","""51.2%"""
"""62.0%""","""18.9%""","""20g""","""35.0μg""","""1mg""","""897""","""61%""","""1μg""","""0mg""","""6mg""","""12.50μg""","""""","""0.01mg""","""99.8%""","""44mg""","""0g""","""""","""1025kJ""","""2mg""","""13mg""","""70""","""17g""","""0.21mg""","""82mg""","""0mg""","""62.6g""","""0.4g""","""0mg""","""94mg""","""2.2mg""","""鸭舌[鸭条]""","""""","""118mg""","""0.7g""","""63μg""","""0mg""","""18.8%"""
"""52.9%""","""16.3%""","""9g""","""24.0μg""","""1.38mg""","""898""","""100%""","""1μg""","""0mg""","""18mg""","""15.30μg""","""""","""0.14mg""","""100.0%""","""233mg""","""0g""","""""","""598kJ""","""8.00mg""","""20mg""","""70""","""13g""","""1mg""","""86.2mg""","""0.37mg""","""74.5g""","""3g""","""1mg""","""188mg""","""5.0mg""","""鸭心""","""""","""120mg""","""0.9g""","""74μg""","""0mg""","""30.8%"""
"""—""","""—""","""0.4g""","""0μg""","""0.50mg""","""899""","""100%""","""1μg""","""0mg""","""8mg""","""0μg""","""""","""0.06mg""","""—""","""166mg""","""0g""","""""","""457kJ""","""0mg""","""5mg""","""70""","""14g""","""0.06mg""","""174mg""","""0.06mg""","""72.6g""","""12.4g""","""0mg""","""87mg""","""30.5mg""","""鸭血(白鸭)""","""""","""95mg""","""1.0g""","""73μg""","""0.04mg""","""—"""
"""50.2%""","""14.8%""","""1.3g""","""6.0μg""","""3mg""","""900""","""93%""","""1μg""","""0mg""","""18mg""","""16.00μg""","""""","""0.04mg""","""99.5%""","""284mg""","""0g""","""""","""388kJ""","""4.40mg""","""12mg""","""70""","""18g""","""0.15mg""","""69.2mg""","""0.18mg""","""77.8g""","""2.1g""","""0mg""","""134mg""","""4.3mg""","""鸭肫""","""""","""153mg""","""0.9g""","""78μg""","""0.08mg""","""34.5%"""
"""54.2%""","""11.4%""","""38.4g""","""36.0μg""","""1.25mg""","""901""","""80%""","""1μg""","""0mg""","""13mg""","""10.30μg""","""""","""0.04mg""","""100.6%""","""247mg""","""0g""","""""","""1824kJ""","""4.50mg""","""35mg""","""70""","""17g""","""0.32mg""","""83.0mg""","""0.12mg""","""38.2g""","""6.0g""","""1mg""","""175mg""","""2.4mg""","""北京烤鸭""","""""","""0mg""","""0.8g""","""38μg""","""0mg""","""35.0%"""
"""53.0%""","""13.1%""","""18.4g""","""11.0μg""","""3mg""","""902""","""80%""","""3μg""","""0mg""","""13mg""","""16μg""","""""","""0.06mg""","""99.9%""","""236mg""","""0g""","""""","""1113kJ""","""4mg""","""14mg""","""70""","""19g""","""0.22mg""","""981.3mg""","""0.26mg""","""53.6g""","""6.3g""","""0mg""","""140mg""","""4.1mg""","""酱鸭""","""""","""107mg""","""2.8g""","""54μg""","""0.02mg""","""33.8%"""
"""50.0%""","""19.5%""","""26.1g""","""35.0μg""","""2.04mg""","""903""","""81%""","""3μg""","""0mg""","""14mg""","""15.40μg""","""""","""0.07mg""","""99.8%""","""218mg""","""0g""","""""","""1310kJ""","""2.50mg""","""10mg""","""70""","""17g""","""0.21mg""","""1558mg""","""0.32mg""","""51.7g""","""3g""","""0mg""","""112mg""","""1mg""","""盐水鸭(熟)""","""""","""81mg""","""2.8g""","""52μg""","""0.05mg""","""30.2%"""
"""54.0%""","""16.4%""","""20g""","""42.0μg""","""1.36mg""","""904""","""63%""","""1μg""","""0mg""","""18mg""","""18μg""","""""","""0.07mg""","""99.8%""","""232mg""","""0g""","""""","""1050kJ""","""5mg""","""4mg""","""71""","""18g""","""0.23mg""","""59mg""","""0.43mg""","""61.4g""","""0.0g""","""0mg""","""144mg""","""4mg""","""鹅""","""""","""74mg""","""0.8g""","""61μg""","""0.04mg""","""29.3%"""
"""21.2%""","""12.5%""","""3.4g""","""6100.0μg""","""4mg""","""905""","""100%""","""1μg""","""0mg""","""11mg""","""0μg""","""""","""0.27mg""","""97.3%""","""336mg""","""0g""","""""","""542kJ""","""0mg""","""2mg""","""71""","""15.2g""","""0.25mg""","""70.2mg""","""8mg""","""70.7g""","""9.3g""","""0mg""","""216mg""","""8mg""","""鹅肝""","""""","""285mg""","""1.4g""","""71μg""","""0.32mg""","""63.6%"""
"""—""","""—""","""2g""","""51.0μg""","""4.04mg""","""906""","""100%""","""1μg""","""0mg""","""9mg""","""0μg""","""""","""0.05mg""","""—""","""410mg""","""0g""","""""","""422kJ""","""0mg""","""2mg""","""71""","""20g""","""0.06mg""","""58.2mg""","""0.14mg""","""76.3g""","""1.1g""","""0mg""","""112mg""","""5mg""","""鹅肫""","""""","""153mg""","""1.1g""","""76μg""","""0.05mg""","""—"""
"""52.1%""","""15.1%""","""22g""","""9.0μg""","""2.00mg""","""907""","""73%""","""2μg""","""0mg""","""7mg""","""8μg""","""""","""0.09mg""","""98.9%""","""22mg""","""0g""","""""","""1209kJ""","""4mg""","""91mg""","""71""","""20g""","""0.11mg""","""240.0mg""","""0.26mg""","""52.8g""","""4.2g""","""0mg""","""202mg""","""4mg""","""烧鹅""","""""","""116mg""","""1.8g""","""53μg""","""0.06mg""","""31.4%"""
"""43.8%""","""21.5%""","""1.2g""","""0μg""","""9.26mg""","""908""","""100%""","""1μg""","""0mg""","""49mg""","""16μg""","""""","""0.07mg""","""98.7%""","""708mg""","""0g""","""""","""384kJ""","""8.30mg""","""12mg""","""72""","""20.0g""","""0.06mg""","""168.4mg""","""0.45mg""","""77.8g""","""0.0g""","""0mg""","""470mg""","""5.2mg""","""火鸡腿""","""""","""58mg""","""1.0g""","""78μg""","""0.04mg""","""33.4%"""
"""—""","""—""","""0.2g""","""0μg""","""1mg""","""909""","""100%""","""1μg""","""0mg""","""31mg""","""10μg""","""""","""0.04mg""","""—""","""227mg""","""0g""","""""","""436kJ""","""16.20mg""","""39mg""","""72""","""22.4g""","""0.03mg""","""94mg""","""0mg""","""73.6g""","""3g""","""0mg""","""116mg""","""1.1mg""","""火鸡胸脯肉""","""""","""49mg""","""1.0g""","""74μg""","""0.03mg""","""—"""
"""48.9%""","""11.5%""","""6g""","""0μg""","""2mg""","""910""","""100%""","""1μg""","""0mg""","""18mg""","""36.00μg""","""""","""0.06mg""","""100.1%""","""244mg""","""0g""","""""","""600kJ""","""43.00mg""","""3mg""","""72""","""20.0g""","""1.21mg""","""129mg""","""0.02mg""","""69.9g""","""3.1g""","""1mg""","""225mg""","""21mg""","""火鸡肝""","""""","""294mg""","""1.4g""","""70μg""","""0.13mg""","""39.7%"""
"""—""","""—""","""0.3g""","""0μg""","""3mg""","""911""","""100%""","""1μg""","""0mg""","""24mg""","""16.30μg""","""""","""0.02mg""","""—""","""352mg""","""0g""","""""","""387kJ""","""8mg""","""44mg""","""72""","""19g""","""0.08mg""","""57.0mg""","""0mg""","""76.5g""","""3.2g""","""0mg""","""108mg""","""4mg""","""火鸡肫""","""""","""342mg""","""1.1g""","""76μg""","""0.03mg""","""—"""
"""61.5%""","""13.4%""","""14.2g""","""53.0μg""","""1mg""","""912""","""42%""","""1μg""","""0mg""","""27mg""","""11.10μg""","""""","""0.06mg""","""99.8%""","""334mg""","""0g""","""""","""841kJ""","""7mg""","""30mg""","""73""","""16.5g""","""0.20mg""","""64mg""","""0.24mg""","""66.6g""","""2g""","""1mg""","""136mg""","""4mg""","""鸽""","""""","""99mg""","""1.0g""","""67μg""","""0.05mg""","""24.9%"""
"""33.7%""","""26.9%""","""3.1g""","""40.0μg""","""1.19mg""","""913""","""58%""","""1μg""","""0mg""","""20mg""","""12μg""","""""","""0.04mg""","""99.5%""","""204mg""","""0g""","""""","""462kJ""","""6.30mg""","""48mg""","""73""","""20.2g""","""0.32mg""","""48.4mg""","""0.10mg""","""75.1g""","""0.2g""","""0mg""","""179mg""","""2.3mg""","""鹌鹑""","""""","""157mg""","""1.4g""","""75μg""","""0.08mg""","""38.9%"""
"""60.2%""","""23.4%""","""34.1g""","""46.0μg""","""2.40mg""","""914""","""56%""","""0.0μg""","""0.0mg""","""21mg""","""12.00μg""","""16.3μg""","""0.08mg""","""99.9%""","""163mg""","""""","""""","""1454kJ""","""2.48mg""","""866mg""","""73""","""11.3g""","""0.36mg""","""653.8mg""","""0.09mg""","""57.5g""","""Tr""","""0.54mg""","""573mg""","""2.0mg""","""乳鸽""","""""","""—""","""1.5g""","""""","""0.04mg""","""16.3%"""
"""62.9%""","""14.4%""","""20.8g""","""—""","""6.33mg""","""915""","""82%""","""—""","""0.0mg""","""61mg""","""24.40μg""","""61.1μg""","""0.04mg""","""99.7%""","""385mg""","""""","""""","""1057kJ""","""3.27mg""","""1614mg""","""73""","""16.9g""","""0.36mg""","""1809.8mg""","""0.42mg""","""59.0g""","""Tr""","""—""","""1050mg""","""8.8mg""","""乳鸽(红烧)""","""""","""—""","""4.0g""","""""","""0.29mg""","""22.3%"""
"""36.3%""","""7.4%""","""3.2g""","""24.0μg""","""0.42mg""","""916""","""100%""","""""","""1.0mg""","""11mg""","""1.90μg""","""""","""0.03mg""","""97.6%""","""109mg""","""""","""""","""227kJ""","""0.10mg""","""104mg""","""74""","""3.0g""","""0.14mg""","""37.2mg""","""0.02mg""","""89.8g""","""3.4g""","""—""","""73mg""","""0.3mg""","""乳品（牛乳，均值)""","""""","""15mg""","""0.6g""","""""","""0.03mg""","""53.8%"""
"""26.8%""","""3.1%""","""3.2g""","""28.0μg""","""0.25mg""","""917""","""100%""","""—""","""Tr""","""8mg""","""1.70μg""","""3.5μg""","""0.02mg""","""96.6%""","""132mg""","""0.00g""","""商品名：100％纯牛奶""","""256kJ""","""0.13mg""","""85mg""","""74""","""3.1g""","""0.10mg""","""24.8mg""","""0.01mg""","""88.0g""","""5.0g""","""0.10mg""","""87mg""","""0.1mg""","""牛乳(光明牌)""","""""","""3mg""","""0.7g""","""""","""—""","""66.6%"""
"""29.9%""","""1.9%""","""3.8g""","""11.0μg""","""0.85mg""","""918""","""100%""","""—""","""Tr""","""12mg""","""1.10μg""","""Tr""","""0.02mg""","""96.8%""","""142mg""","""0.00g""","""商品名：纯牛奶（100％）""","""278kJ""","""0.13mg""","""104mg""","""74""","""3.3g""","""0.09mg""","""38.4mg""","""0.01mg""","""87.4g""","""4.8g""","""0.10mg""","""100mg""","""0.6mg""","""牛乳(乐百氏牌)""","""""","""4mg""","""0.7g""","""""","""0.01mg""","""64.9%"""
"""29.1%""","""2.0%""","""3.1g""","""14.0μg""","""0.67mg""","""919""","""100%""","""—""","""Tr""","""11mg""","""0.20μg""","""0.6μg""","""0.02mg""","""96.7%""","""166mg""","""0.00g""","""商品名：纯牛奶（100％）""","""256kJ""","""0.10mg""","""113mg""","""74""","""3.0g""","""0.08mg""","""68.2mg""","""0.01mg""","""87.9g""","""5.3g""","""0.00mg""","""99mg""","""0.4mg""","""牛乳(帕玛拉特牌)""","""""","""6mg""","""0.7g""","""""","""0.01mg""","""65.5%"""
"""29.2%""","""2.4%""","""3.9g""","""30.0μg""","""0.42mg""","""920""","""100%""","""—""","""Tr""","""10mg""","""1.70μg""","""2.3μg""","""0.02mg""","""97.7%""","""177mg""","""0.00g""","""商品名：纯牛奶""","""289kJ""","""0.13mg""","""88mg""","""74""","""3.4g""","""0.10mg""","""35.1mg""","""0.01mg""","""86.9g""","""5.1g""","""0.11mg""","""88mg""","""0.3mg""","""牛乳(三元牌)""","""""","""1mg""","""0.7g""","""""","""0.01mg""","""66.0%"""
"""18.1%""","""2.0%""","""3.2g""","""17.0μg""","""0.28mg""","""921""","""100%""","""—""","""Tr""","""9mg""","""0.60μg""","""1.2μg""","""0.03mg""","""100.0%""","""161mg""","""0.00g""","""商品名：100％纯牛奶""","""251kJ""","""0.08mg""","""91mg""","""74""","""2.9g""","""0.09mg""","""292.1mg""","""0.01mg""","""88.3g""","""4.9g""","""0.01mg""","""87mg""","""0.1mg""","""牛乳(完达山牌)""","""""","""7mg""","""0.7g""","""""","""—""","""79.9%"""
"""28.2%""","""2.9%""","""3.8g""","""11.0μg""","""0.46mg""","""922""","""100%""","""—""","""Tr""","""9mg""","""0.80μg""","""1.2μg""","""0.02mg""","""96.1%""","""145mg""","""0.00g""","""商品名：纯鲜牛奶（100％）""","""277kJ""","""0.11mg""","""82mg""","""74""","""2.9g""","""0.10mg""","""41.5mg""","""Tr""","""87.5g""","""5.1g""","""0.11mg""","""83mg""","""0.1mg""","""牛乳(龙丹牌)""","""""","""6mg""","""0.7g""","""""","""0.01mg""","""64.9%"""
"""33.0%""","""2.1%""","""3.7g""","""14.0μg""","""0.51mg""","""923""","""100%""","""—""","""Tr""","""11mg""","""1.10μg""","""1.4μg""","""0.02mg""","""98.0%""","""159mg""","""0.00g""","""商品名：纯鲜牛奶""","""280kJ""","""0.11mg""","""98mg""","""74""","""3.1g""","""0.11mg""","""48.9mg""","""Tr""","""87.2g""","""5.3g""","""0.10mg""","""94mg""","""0.2mg""","""牛乳(蒙牛牌)""","""""","""1mg""","""0.7g""","""""","""Tr""","""62.8%"""
"""31.4%""","""2.4%""","""3.8g""","""17.0μg""","""0.45mg""","""924""","""100%""","""—""","""Tr""","""11mg""","""1.20μg""","""1.5μg""","""0.02mg""","""98.3%""","""163mg""","""0.00g""","""商品名：纯鲜牛奶""","""278kJ""","""0.11mg""","""92mg""","""74""","""3.1g""","""0.11mg""","""46.1mg""","""Tr""","""87.4g""","""5.0g""","""0.10mg""","""59mg""","""0.3mg""","""牛乳(新南洋牌)""","""""","""5mg""","""0.7g""","""""","""0.02mg""","""64.4%"""
"""30.5%""","""2.1%""","""3.2g""","""15.0μg""","""0.58mg""","""925""","""100%""","""—""","""Tr""","""11mg""","""1.20μg""","""0.9μg""","""0.02mg""","""97.2%""","""181mg""","""0.00g""","""商品名：保鲜牛奶""","""254kJ""","""0.08mg""","""93mg""","""74""","""2.9g""","""0.13mg""","""62.1mg""","""0.01mg""","""88.1g""","""5.1g""","""0.10mg""","""99mg""","""0.4mg""","""牛乳(帕玛拉特)""","""""","""5mg""","""0.7g""","""""","""0.01mg""","""64.5%"""
"""30.3%""","""2.8%""","""3.7g""","""16.0μg""","""0.45mg""","""926""","""100%""","""—""","""Tr""","""12mg""","""1.50μg""","""—""","""0.02mg""","""100.1%""","""348mg""","""0.00g""","""商品名：保鲜纯牛奶""","""283kJ""","""0.08mg""","""110mg""","""74""","""3.2g""","""0.13mg""","""49.5mg""","""0.02mg""","""86.9g""","""5.4g""","""0.00mg""","""103mg""","""0.1mg""","""牛乳(伊利牌)""","""""","""—""","""0.8g""","""""","""—""","""67.0%"""
"""23.3%""","""Tr""","""1.3g""","""6.0μg""","""0.30mg""","""927""","""100%""","""—""","""Tr""","""8mg""","""1.50μg""","""3.6μg""","""0.03mg""","""100.0%""","""185mg""","""0.00g""","""""","""182kJ""","""0.07mg""","""66mg""","""74""","""2.9g""","""0.09mg""","""279.5mg""","""0.02mg""","""90.1g""","""5.0g""","""0.00mg""","""91mg""","""0.2mg""","""牛乳(部分脱脂，帕玛拉特)""","""""","""5mg""","""0.7g""","""""","""Tr""","""76.7%"""
"""32.7%""","""Tr""","""0.2g""","""Tr""","""0.54mg""","""928""","""100%""","""—""","""Tr""","""9mg""","""1.00μg""","""4.6μg""","""0.03mg""","""82.1%""","""204mg""","""0.00g""","""""","""138kJ""","""0.07mg""","""75mg""","""74""","""2.9g""","""0.08mg""","""117.2mg""","""0.01mg""","""91.4g""","""4.8g""","""0.00mg""","""96mg""","""0.3mg""","""牛乳(脱脂，帕玛拉特)""","""""","""2mg""","""0.7g""","""""","""—""","""49.4%"""
"""27.9%""","""2.1%""","""3.1g""","""15.0μg""","""1.10mg""","""929""","""100%""","""—""","""Tr""","""11mg""","""1.40μg""","""Tr""","""0.02mg""","""96.2%""","""171mg""","""0.00g""","""商品名：保鲜牛奶（加锌、钙）""","""251kJ""","""0.08mg""","""93mg""","""74""","""3.0g""","""0.11mg""","""62.1mg""","""Tr""","""88.2g""","""5.0g""","""0.10mg""","""103mg""","""1.0mg""","""牛乳(强化锌、钙，帕玛拉特)""","""""","""2mg""","""0.7g""","""""","""0.01mg""","""66.1%"""
"""24.1%""","""1.8%""","""3.0g""","""18.0μg""","""0.37mg""","""930""","""100%""","""—""","""Tr""","""9mg""","""1.30μg""","""Tr""","""0.02mg""","""91.8%""","""157mg""","""0.00g""","""""","""332kJ""","""0.09mg""","""78mg""","""74""","""2.7g""","""0.11mg""","""28.3mg""","""0.00mg""","""83.4g""","""10.3g""","""0.11mg""","""83mg""","""0.3mg""","""牛奶(草莓味，卡夫牌)""","""""","""4mg""","""0.6g""","""""","""0.01mg""","""65.7%"""
"""32.7%""","""2.4%""","""3.2g""","""17.0μg""","""0.31mg""","""931""","""100%""","""—""","""Tr""","""13mg""","""1.60μg""","""Tr""","""0.02mg""","""97.9%""","""154mg""","""0.00g""","""""","""336kJ""","""0.12mg""","""81mg""","""74""","""2.8g""","""0.11mg""","""31.4mg""","""0.02mg""","""83.3g""","""10.0g""","""0.10mg""","""92mg""","""0.5mg""","""牛奶(巧克力味，卡夫牌)""","""""","""5mg""","""0.7g""","""""","""0.02mg""","""62.7%"""
"""26.1%""","""1.5%""","""2.8g""","""18.0μg""","""0.37mg""","""932""","""100%""","""—""","""Tr""","""12mg""","""1.10μg""","""0.9μg""","""0.02mg""","""96.1%""","""165mg""","""0.00g""","""""","""311kJ""","""0.09mg""","""101mg""","""74""","""2.3g""","""0.08mg""","""36.3mg""","""0.03mg""","""84.4g""","""9.9g""","""0.21mg""","""75mg""","""0.5mg""","""牛奶(巧克力味，三元牌)""","""""","""1mg""","""0.6g""","""""","""0.03mg""","""68.4%"""
"""26.5%""","""1.4%""","""2.6g""","""30.0μg""","""1.53mg""","""933""","""100%""","""—""","""Tr""","""8mg""","""0.80μg""","""—""","""0.02mg""","""99.9%""","""140mg""","""0.00g""","""商品名：中国学生奶""","""278kJ""","""0.06mg""","""87mg""","""74""","""2.6g""","""0.14mg""","""47.3mg""","""Tr""","""86.1g""","""8.1g""","""0.00mg""","""78mg""","""0.1mg""","""学生奶""","""""","""—""","""0.6g""","""""","""Tr""","""72.0%"""
"""24.3%""","""4.0%""","""3.5g""","""84.0μg""","""0.29mg""","""934""","""100%""","""""","""""","""""","""1.80μg""","""""","""0.04mg""","""94.5%""","""135mg""","""""","""""","""247kJ""","""2.10mg""","""82mg""","""74""","""1.5g""","""0.12mg""","""20.6mg""","""0.04mg""","""88.9g""","""5.4g""","""—""","""98mg""","""0.5mg""","""乳品（鲜羊乳）""","""""","""31mg""","""0.7g""","""""","""""","""66.0%"""
"""29.4%""","""5.0%""","""23.4g""","""183.0μg""","""2.30mg""","""935""","""100%""","""6μg""","""0mg""","""81mg""","""7.40μg""","""""","""0.42mg""","""94.1%""","""841mg""","""0g""","""""","""2054kJ""","""0.40mg""","""495mg""","""75""","""22.5g""","""0.26mg""","""451mg""","""0.07mg""","""1.2g""","""47.4g""","""0mg""","""1018mg""","""1mg""","""全脂加糖奶粉""","""""","""0mg""","""5.5g""","""1μg""","""0.08mg""","""58.3%"""
"""29.4%""","""5.0%""","""19g""","""272.0μg""","""2.16mg""","""936""","""100%""","""5μg""","""7.0mg""","""73mg""","""8.00μg""","""""","""0.08mg""","""93.8%""","""541mg""","""0g""","""""","""1956kJ""","""0.50mg""","""659mg""","""75""","""20g""","""1mg""","""248mg""","""0.12mg""","""2.3g""","""54.0g""","""1mg""","""571mg""","""3mg""","""全脂速溶奶粉""","""""","""71mg""","""4.9g""","""2μg""","""0.05mg""","""58.3%"""
